Canias Kod;Varyans-TR;Varyans-EN;Ana Ürün-TR;Ana Ürün - EN;Moq;Paket Adedi;Status;Kategori;Ana Ürün Kodu;Ürün Kısa Kodu;Katalog ID;Katalog Sayfa Numarası;;;;;;;;;;
01.11.412S-4;VEGA A4 AYAKLI ÇERÇEVE STD SET SMRA KIR;"Vega Frame Stand Set (Special Serie) Red    A4 300/600
";AYAKLI ÇERÇEVE SET (VEGA);VEGA Frame Stand Set;0;10;A;01.2;01;01201;01201004;0;;;;;;;;;;
01.11.412S-5;VEGA A4 AYAKLI ÇERÇEVE STD SET SMRA MAVİ;Vega Frame Stand Set (Special Serie) Blu;AYAKLI ÇERÇEVE SET (VEGA);VEGA Frame Stand Set;0;10;P;01.2;01;01201;01201005;0;;;;;;;;;;
01.11.412S-6;VEGA A4 AYAKLI ÇERÇEVE STD SET SMRA SARI;Vega Frame Stand Set (Special Serie) Yel;AYAKLI ÇERÇEVE SET (VEGA);VEGA Frame Stand Set;0;10;P;01.2;01;01201;01201006;0;;;;;;;;;;
01.11.412S-7;VEGA A4 AYAKLI ÇERÇEVE STD SET SMRA YEŞ;Vega Frame Stand Set (Special Serie) Gre;AYAKLI ÇERÇEVE SET (VEGA);VEGA Frame Stand Set;0;10;P;01.2;01;01201;01201007;0;;;;;;;;;;
01.11.412S-8;VEGA A4 AYAKLI ÇERÇEVE STD SET SMRA TUR;Vega Frame Stand Set (Special Serie) Ora;AYAKLI ÇERÇEVE SET (VEGA);VEGA Frame Stand Set;0;10;P;01.2;01;01201;01201008;0;;;;;;;;;;
N/A;VEGA A4 AYAKLI ÇERÇEVE STD SET SMRA (GRİ);Vega Frame Stand Set (Special Serie) Gra;AYAKLI ÇERÇEVE SET (VEGA);VEGA Frame Stand Set;0;0;K;01.2;01;01201;01201009;0;;;;;;;;;;
01.11.512S-1;VEGA A5 AYAKLI ÇERÇEVE STD SET SMRA ŞEF;"Vega Frame Stand Set (Special Serie)Trans. A5 300/600
";AYAKLI ÇERÇEVE SET (VEGA);VEGA Frame Stand Set;0;10;P;01.2;01;01201;01201010;0;;;;;;;;;;
01.11.512S-2;VEGA A5 AYAKLI ÇERÇEVE STD SET SMRA SİY;"Vega Frame Stand Set (Special Serie) Black A5 300/600
";AYAKLI ÇERÇEVE SET (VEGA);VEGA Frame Stand Set;0;10;P;01.2;01;01201;01201011;0;;;;;;;;;;
01.11.512S-3;VEGA A5 AYAKLI ÇERÇEVE STD SET SMRA BEY;Vega Frame Stand Set (Special Serie) Whi;AYAKLI ÇERÇEVE SET (VEGA);VEGA Frame Stand Set;0;10;P;01.2;01;01201;01201012;0;;;;;;;;;;
01.11.512S-4;VEGA A5 AYAKLI ÇERÇEVE STD SET SMRA KIR;"Vega Frame Stand Set (Special Serie) Red    A5 300/600
";AYAKLI ÇERÇEVE SET (VEGA);VEGA Frame Stand Set;0;10;P;01.2;01;01201;01201013;0;;;;;;;;;;
01.11.512S-5;VEGA A5 AYAKLI ÇERÇEVE STD SET SMRA MAVİ;Vega Frame Stand Set (Special Serie) Blu;AYAKLI ÇERÇEVE SET (VEGA);VEGA Frame Stand Set;0;10;P;01.2;01;01201;01201014;0;;;;;;;;;;
01.11.512S-6;VEGA A5 AYAKLI ÇERÇEVE STD SET SMRA SARI;Vega Frame Stand Set (Special Serie) Yel;AYAKLI ÇERÇEVE SET (VEGA);VEGA Frame Stand Set;0;10;P;01.2;01;01201;01201015;0;;;;;;;;;;
01.11.512S-7;VEGA A5 AYAKLI ÇERÇEVE STD SET SMRA YEŞ;Vega Frame Stand Set (Special Serie) Gre;AYAKLI ÇERÇEVE SET (VEGA);VEGA Frame Stand Set;0;10;P;01.2;01;01201;01201016;0;;;;;;;;;;
01.11.512S-8;VEGA A5 AYAKLI ÇERÇEVE STD SET SMRA TUR;Vega Frame Stand Set (Special Serie) Ora;AYAKLI ÇERÇEVE SET (VEGA);VEGA Frame Stand Set;0;10;P;01.2;01;01201;01201017;0;;;;;;;;;;
N/A;VEGA A5 AYAKLI ÇERÇEVE STD SET SMRA (GRİ);Vega Frame Stand Set (Special Serie) Gra;AYAKLI ÇERÇEVE SET (UFO);VEGA Frame Stand Set;0;0;K;01.2;01;01201;01201018;0;;;;;;;;;;
01.11.429S-1;UFO A4 AYAKLI ÇERÇEVE STD SET SMRA ŞEF;Ufo Frame Stand Set (Special Serie) Tran;AYAKLI ÇERÇEVE SET (UFO);UFO Frame Stand Set;0;10;P;01.2;02;01202;01202001;0;;;;;;;;;;
